"Country.Name","Country.Code","Indicator.Name","Indicator.Code","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","c1990","c1991","c1992","c1993","c1994","c1995","c1996","c1997","c1998","c1999","c2000","c2001","c2002","c2003","c2004","c2005","c2006","c2007","c2008","c2009","c2010","c2011","c2012","c2013","c2014","c2015","c2016","c2017","c2018","c2019","Region","IncomeGroup"
"Latvia","LVA","GDP (current US$)","NY.GDP.MKTP.CD",7.447e+09,6.756e+09,1.694e+09,2.728e+09,4.533e+09,5789128637,5975248851,6527926446,7166275468,7533788134,7958852839,8362398702,9557031605,11771975157,14435700533,17003459863,21570076499,31054350978,35854274229,26410909091,23956163077,27474380566,28169902669,30204783462,31386896487,27263090547,28083597512,30483806018,34429023435,34308783825,18780000,17200000,13970000,11760000,10220000,9e+06,9010000,8530000,8130000,7550000,6930000,7360000,7350000,7590000,7620000,7710000,8200000,8530000,8110000,7360000,8520000,7900000,7570000,7450000,7280000,7320000,7150000,7120000,7790000,7570000,"Europe & Central Asia","High income"
"Morocco","MAR","GDP (current US$)","NY.GDP.MKTP.CD",30180108561.9305,32285388165.2999,33711069430.78,31655473663.8348,35604137422.5796,39030285468.3841,43161452678.4383,39147844526.0838,41806219378.6181,41632027599.8531,38857251336.3448,39459581217.3759,42236836820.6152,52064058833.9739,59626020162.3816,62343022650.8742,68640825480.9223,79041294874.4553,92507257783.5697,92897320375.8176,93216746661.5977,101370474295.109,98266306615.3632,106825649872.108,110081248587.369,101179808076.36,103311649248.024,109682728023.112,118096227400.092,119870439113.662,21500000,23120000,24880000,25580000,27709999.9999999,28790000.0000001,28479999.9999999,29900000.0000001,30630000,32200000,32879999.9999999,36270000,37470001.2207031,37250000,40990001.6784668,43580001.8310548,4.5e+07,46349998.4741212,48630001.0681151,48750000,51759998.3215333,55939998.626709,58080001.8310546,57590000.152588,58689998.6267089,60409999.8474119,60319999.6948244,63520000.4577637,64959999.0844725,71480003.3569335,"Middle East & North Africa","Lower middle income"
"Moldova","MDA","GDP (current US$)","NY.GDP.MKTP.CD",3.593e+09,3.083e+09,8.64e+08,1.11e+09,1.158e+09,1752979926,1695122174,1930081169,1698717505,1170782957,1288429392,1480673594,1661818168,1980907435,2598249556,2988348836,3408244549,4401189466,6054849885,5439422031,6974982393,8414351672,8709138765,9496717702,9510198962,7745241913,8071469355,9669741744,11457443185,11971345003,30530000,24600000,20320000,17410000,14140000,12140000,10400000,9580000,8650000,7350000,6710000,7020000,7180000,7770000,7780000,8180000,7980000,8140000,8150000,7640000,8300000,8340000,8140000,7180000,7710000,8020000,8140000,8060000,8540000,8860000,"Europe & Central Asia","Upper middle income"
"Madagascar","MDG","GDP (current US$)","NY.GDP.MKTP.CD",3931334870.67235,3254713056.02171,3714967007.18602,4063298919.2868,3522226902.75861,3838101052.21232,4931861239.07864,4262965281.5836,4401967499.25594,4277903780.29131,4629247090.97816,5438332738.10373,5351701534.15801,6372498719.84613,5064732715.72615,5859269849.14523,6395712392.23682,8524620739.24074,10725137930.8286,9616879571.46431,9982711338.11814,11551819617.6271,11578974887.9562,12423555269.3893,12522957228.1764,11323020828.5758,11848613735.1933,13176313593.5509,13614412550.8812,14191911512.0465,890000,950000,960000,1e+06,1210000,1370000.00000001,1310000,1420000,1630000.00000001,1670000,1650000,1670000.00000001,1120000.00476837,1549999.95231628,1649999.97615814,1710000.03814697,1639999.98569489,1720000.02861023,1779999.97138977,1690000.05722046,1870000.00476837,2190000.05722047,2740000.00953674,2930000.0667572,3009999.99046325,3279999.97138976,3180000.0667572,3470000.02861023,3349999.90463258,4119999.88555909,"Sub-Saharan Africa","Low income"
"Maldives","MDV","GDP (current US$)","NY.GDP.MKTP.CD",215043969.849246,244396761.92334,284874919.577641,322417837.161971,356013395.70854,398988954.970263,450382327.952421,508223602.378929,540096397.621071,589239753.610875,624337145.284622,870030468.628748,897031250,1052121054.6875,1226829562.5,1163362437.5,1575200390.625,1868383460.9375,2271646187.5,2345294875,2588176054.6875,2774351760.03287,2886170571.69634,3295011381.75405,3697351596.83753,4109424799.72407,4379136461.83077,4754175869.24027,5300962659.51088,5607762625.14627,160000,160000,230000,2e+05,2e+05,260000,279999.999999999,339999.999999999,309999.999999999,429999.999999999,460000,480000.000000001,620000.004768371,529999.971389771,750000.000000001,720000.028610229,870000.004768372,870000.004768373,870000.004768371,910000.026226046,959999.978542327,1009999.99046326,1139999.98569489,1129999.99523163,1370000.00476837,1370000.00476837,1759999.99046326,1860000.01430511,2099999.90463257,2109999.89509583,"South Asia","Upper middle income"
"Mexico","MEX","GDP (current US$)","NY.GDP.MKTP.CD",261253582805.945,313142768453.485,363157598242.27,500736065605.341,527813238126.278,360073909243.855,410975595310.156,500413483109.175,526502129378.284,600232874042.927,707906744574.644,756706300589.791,772106378935.377,729336319677.449,782240601984.76,877476221382.101,975387131716.089,1052696282278.87,1109989063586.62,900045350649.351,1057801295584.05,1180489601957.61,1201089987015.45,1274443084716.57,1315351183524.54,1171867608197.72,1078490651625.31,1158913035796.37,1222408203104.3,1269404276770.7,269580000,2.88e+08,291680000,300670000,326500000,306840000,322700000,342480000,365140000,355180000,379180000,378830000,3.86e+08,404690002.441406,414100006.103516,432190002.441406,448299987.792969,457119995.117188,459549987.792969,448369995.117188,462869995.117188,478399993.896484,486450012.207031,475739990.234376,462239990.234375,471630004.882813,473309997.558594,471579986.572266,452570007.324219,449269989.013672,"Latin America & Caribbean","Upper middle income"
"North Macedonia","MKD","GDP (current US$)","NY.GDP.MKTP.CD",4699646643.10954,4938775510.20408,2436849341.97604,2682456896.55172,3559607241.25816,4707036096.48961,4642018353.67211,3912986090.97363,3765747304.98681,3863621185.97303,3772857145.0248,3709637829.94866,4018365247.44444,4946292774.79046,5682788267.12865,6258600713.82627,6861222331.96317,8336478142.08872,9909548410.82744,9401731495.71661,9407168702.4313,10494632699.3859,9745251126.0109,10817712138.9451,11362272837.8818,10064515432.0265,10672471860.7184,11307058382.3435,12683070061.4695,12606338448.547,8590000,8379999.99999999,8540000,8840000.00000001,8549999.99999999,8520000.00000001,10060000,8990000.00000001,9840000.00000001,9089999.99999999,8759999.99999999,8920000,8369999.88555907,9140000.34332275,8840000.15258788,9229999.54223633,9220000.2670288,9699999.80926513,9479999.54223633,8869999.88555908,8640000.34332274,9520000.45776367,9050000.19073486,8140000.34332274,7699999.80926515,7409999.84741211,7300000.19073485,7789999.96185303,7300000.19073485,8300000.19073486,"Europe & Central Asia","Upper middle income"
"Mali","MLI","GDP (current US$)","NY.GDP.MKTP.CD",2681912149,2724131460,2830673381,2818281080,2081846499,2706425158,2780422048,2697105822,2920358713,3440724708,2961484954,3468337941,3908121310,4714071978,5454249123,6247515892,6905934219,8156468818,9838403091,10231962383,10689168011,12995112698,12442035328,13242690790,14364937128,13104764379,14026048334,15365713059,17070867578,17280250805,10000,10000,10000,10000,10000,10000,10262.804021841,10000,103606,212859,1410000,1610000,1400000,1400000,1480000,1650000,1890000,2070000,2080000,2510000,2780000,3120000,3110000,3220000,3380000,3650000,4670000,5180000,5470000,5830000,"Sub-Saharan Africa","Low income"
"Malta","MLT","GDP (current US$)","NY.GDP.MKTP.CD",2547163582.33149,2750041434.26295,3021910216.71827,2709178326.78271,2998570146.54095,3720400535.01945,3822882801.33397,3793418418.41842,4010571223.3396,4121350731.81231,4069515579.07114,4088368978.34589,4470446391.44639,5448415500.17071,6098092551.07125,6416184181.07201,6778324049.68009,7925371475.49959,9090406767.24769,8696366907.4743,9035932122.49768,9638916481.06904,9462238211.48657,10551661176.7831,11626281387.0068,11091434483.5238,11668286794.8616,13505056441.5193,15301279478.2071,15719500920.5362,2310000,2210000,2170000,2810000,2510000,2380000,2320000,2470000,2370000,2410000,2130000,2490000,2319999.9332428,2609999.89509583,2599999.90463257,2630000.11444092,2650000.09536743,2720000.02861023,2720000.02861023,2509999.99046326,2589999.91416931,2569999.9332428,2720000.02861023,2369999.88555908,2359999.89509583,1659999.9666214,1350000.02384186,1519999.98092651,1549999.95231628,1659999.9666214,"Middle East & North Africa","High income"
"Myanmar","MMR","GDP (current US$)","NY.GDP.MKTP.CD",2036373522.68939,2137184858.04416,2216072577.11344,2809748387.09677,3821535779.81651,4879257847.77122,5759624742.26804,5633070602.54016,4613071494.63459,5643818689.479,6849321645.95623,6220270632.33592,6110632857.66584,7754647428.07323,9390855297.73553,10588433068.8549,11863016315.2934,15591182544.7092,23013015832.1023,29455165594.6859,37796052938.7278,54118601974.7947,58318677644.9492,60572257122.2962,63264892768.3726,63045305229.1046,60291736893.9397,61449392056.1488,67144725830.5753,68697759361.231,4080000,4020000,4280000,4809999.99999998,5650000,6939999.99999999,7310000,7249999.99999998,7910000,8710000.00000001,9440000,8350000.00000001,8300000.19073487,10489999.7711182,10149999.6185303,10720000.2670288,9970000.2670288,10390000.3433228,7900000.09536745,7489999.77111816,8130000.11444094,8689999.58038329,11960000.038147,13600000.3814697,17040000.9155273,19040000.9155273,21860000.6103516,32500000,32939998.626709,36720001.2207031,"East Asia & Pacific","Lower middle income"
"Montenegro","MNE","GDP (current US$)","NY.GDP.MKTP.CD",2.147e+09,1.754e+09,1.481e+09,8.2e+08,8.46e+08,1.215e+09,8.74e+08,8.46e+08,8.59e+08,8.37e+08,984297589,1159869246,1284685051,1707710053,2073234418,2257174481,2721903149,3680711744,4545674528,4159330370,4143033276,4544516982,4087725813,4465771673,4593852089,4054728173,4376929572,4856602179,5506944403,5542201151,1920000,1360000,1480000,1290000,1260000,1330000,1550000,1670000,1760000,1210000,1520000,1670000,1770000,1890000,2040000,2e+06,2180000,2100000,2690000,1750000,2580000,2540000,2330000,2270000,2220000,2360000,2150000,2270000,2500000,2600000,"Europe & Central Asia","Upper middle income"
"Mongolia","MNG","GDP (current US$)","NY.GDP.MKTP.CD",2560785660,2379018326.31579,1317611863.84977,768401634.154573,925817092.217484,1452165005.2384,1345719472.35883,1180934202.83801,1124440248.9783,1057408588.68269,1136896123.61298,1267997934.3125,1396555719.97409,1595297355.78349,1992066808.09598,2523471532.01083,3414055566.1138,4234999823.30839,5623216448.86852,4583850367.88972,7189481824.07288,10409797649.3063,12292770631.1967,12582122604.1921,12226514722.0861,11619892396.0767,11181350461.4723,11480847745.3187,13178094459.4548,14206359006.8095,12970000,14760000,12860000,11850000,10320000,10280000,8690000,8520000,8549999.99999999,8609999.99999999,8999999.99999999,8970000,9600000.38146972,9310000.41961669,9560000.41961669,11060000.4196167,12420000.0762939,13020000.4577637,12970000.2670288,13640000.3433228,14310000.4196167,15729999.5422363,17139999.3896484,18379999.1607666,18120000.8392334,17299999.2370605,18170000.0762939,19579999.9237061,21549999.2370605,23069999.6948242,"East Asia & Pacific","Lower middle income"
"Mozambique","MOZ","GDP (current US$)","NY.GDP.MKTP.CD",3.529e+09,3633406065,2639953231,2729550591,2796549978,2899922842,3856799844,4648832184,5263877520,5976408044,5656473652,5398568544,5677003239,6303391144,7631120533,8542070110,9176889070,10450843291,12556195189,11914471497,11104649065,14381552467,16350813487,16974314296,17716091057,15950979333,11936993087,13219079498,14845400593,15390031040,1120000,940000,1100000,1290000,1100000,1170000,1160000,1290000,1240000,1230000,1430000,1410000,1570000,1900000,1910000,1710000,1860000,2230000,2240000,2490000,2680000,3350000,3680000,4200000,4860000,5520000,7280000,7210000,6950000,7500000,"Sub-Saharan Africa","Low income"
"Mauritania","MRT","GDP (current US$)","NY.GDP.MKTP.CD",1506914407.82047,2133688270.32436,2164292208.16528,1847350611.72458,1944876755.00708,2091731420.68923,2132081881.91398,2072001066.8212,2032345831.83005,1985924386.91448,1779523344.34106,1746064718.79169,1777058592.98812,2051147606.73687,2362501023.24249,2936019525.60241,3919577285.92703,4346206808.54026,5206444406.66154,4714592492.92972,5628878865.99027,6764627665.69239,6728208836.22143,7223071177.15856,6592537781.81518,6166863960.00061,6398747531.60142,6800135961.61412,7352533585.59316,7889655284.47161,939999.999999999,980000,1010000,1050000,1070000,1170000,1230000,1230000,1240000,1300000,1270000,1400000,1549999.95231628,1480000.01907349,1639999.98569489,1509999.99046326,1730000.01907349,1990000.00953674,1899999.97615814,2349999.90463257,2400000.09536743,2460000.03814697,2730000.01907349,2589999.91416931,2900000.09536743,3559999.94277954,3259999.99046326,3490000.00953674,3690000.05722046,3950000.04768372,"Sub-Saharan Africa","Lower middle income"
"Mauritius","MUS","GDP (current US$)","NY.GDP.MKTP.CD",2653480001.34558,2856890680.60285,3224267547.80508,3263368410.01813,3558137040.37772,4040345933.2923,4421943910.49749,4187367601.73431,4169664285.38681,4343710332.80658,4663313620.01707,4613630622.77501,4841310239.63687,5816553826.85519,6578844486.06288,6488750452.60067,7028803365.70151,8150138757.15741,9990370016.30771,9128843109.15588,10003670690.3497,11518393367.2403,11668685524.1265,12129642296.4425,12803445933.5894,11692287066.381,12232463655.5727,13259351418.4459,14181951058.5129,14045808843.221,1160000,1250000,1320000,1470000,1510000,1550000,1610000,1620000,1790000,2200000,2430000,2570000,2609999.89509582,2750000,2769999.98092651,2960000.03814697,3299999.95231628,3400000.09536743,3470000.02861023,3420000.07629396,3660000.08583069,3640000.10490416,3730000.01907349,3819999.9332428,3950000.04768372,3960000.03814697,4039999.96185303,4170000.07629395,4130000.11444092,4170000.07629396,"Sub-Saharan Africa","Upper middle income"
"Malawi","MWI","GDP (current US$)","NY.GDP.MKTP.CD",1880771556.30474,2203545856.66893,1799517081.56412,2070636935.58644,1181802596.03498,1397457932.30697,2281034131.36493,2663234933.89767,1750584265.28754,1775921718.10534,1743506531.32652,1716502862.2954,3495748397.63025,3208837077.25069,3476094498.87517,3655909664.1423,3998020176.67364,4432937045.79897,5321012192.33619,6191127665.1963,6959655570.89098,8004000737.30717,6028487928.83351,5518880768.57955,6047813437.31804,6373212640.84604,5433040159.88747,8943543677.18899,9880676218.82611,11025370768.8135,550000,640000,630000,720000,740000,750000,740000,770000,750000,790000,710000,680000,680000.007152557,750000,769999.980926514,759999.990463257,779999.971389771,829999.983310699,959999.978542328,980000.019073486,889999.985694885,930000.007152556,949999.988079072,980000.019073486,850000.023841859,930000.007152556,1120000.00476837,1190000.05722046,1379999.99523163,1450000.04768372,"Sub-Saharan Africa","Low income"
"Malaysia","MYS","GDP (current US$)","NY.GDP.MKTP.CD",44024178343.0071,49143148094.2683,59167550162.956,66894837030.4184,74478356957.7808,88705342902.7113,100855393910.486,100005323301.867,72167498980.8398,79148421052.6316,93789736842.1053,92783947368.4211,100845526315.789,110202368421.053,124749473684.211,143534102611.497,162691238209.476,193547824063.3,230813897715.69,202257625195.063,255016609232.871,297951960784.314,314443149443.149,323277158906.979,338061963396.376,301354803994.367,301255380276.258,319112136545.438,358791513221.482,365276379480.99,54620000.0000001,65100000,67170000,73039999.9999999,79740000.0000001,86309999.9999999,98640000,106020000,105690000,114450000,124360000,129460000,136380004.882813,144490005.493164,158270004.272461,167419998.168945,174100006.103516,189940002.441406,202910003.662109,181929992.675781,200220001.220703,202740005.493164,205809997.558594,223660003.662109,236649993.896484,236539993.286133,235960006.713867,227619995.117188,244410003.662109,253270004.272461,"East Asia & Pacific","Upper middle income"
"Namibia","NAM","GDP (current US$)","NY.GDP.MKTP.CD",2789944498,2996885561,3429538534,3251230621,3666501464,3978497753,3989208662,4154955686,3873098656,3868541599,3922247990,3557333364,3349184760,4926471294,6609198833,7248394160,8001779551,8839526452,8607475308,8938868165,11431334447,12523402329,13042007432,12043276397,12435416060,11335179562,10721994677,12895153160,13682062249,12543203411,1020000,1120000,1220000,1410000,1640000,1770000,1920000,1970000,2020000,1980000,1940000,2460000,2130000,2270000,2380000,2530000,2530000,2620000,2950000,3020000,3130000,3330000,3530000,3790000,3950000,4200000,4130000,4270000,4230000,4220000,"Sub-Saharan Africa","Upper middle income"
"Niger","NER","GDP (current US$)","NY.GDP.MKTP.CD",3512356353.0798,3285796979.79737,3386232592.01834,3052673622.85839,1938058161.25116,2302537682.18029,2405687081.12795,2290318800.33457,2643363406.97664,2537790022.73535,2241753120.21267,2448714680.56221,2782192986.95772,3394084884.67098,3760443965.72976,4383315656.99096,4756361479.98873,5731485267.33492,7297600896.86099,7352131669.2941,7851191899.3408,8772951261.81807,9426913349.22319,10224897934.722,10862944203.5591,9683867893.68343,10398862244.9737,11185102399.5762,12808660528.0617,12916455161.1081,570000,540000,5e+05,570000,550000,530000,610000,620000,670000,650000,669999.999999999,670000,699999.988079071,759999.990463257,790000.021457673,759999.990463257,750000,819999.992847443,860000.014305115,1080000.04291534,1370000.00476837,1409999.9666214,1889999.98569489,1970000.02861022,2150000.09536742,2109999.89509583,2109999.89509582,1909999.9666214,1950000.04768372,2150000.09536743,"Sub-Saharan Africa","Low income"
"Nigeria","NGA","GDP (current US$)","NY.GDP.MKTP.CD",54035795387.8086,49118433047.5318,47794925814.7558,27752204320.0883,33833042987.7582,44062465800.1706,51075815092.5,54457835193.4927,54604050168.1818,59372613485.6576,69448756932.5833,74030364472.0506,95385819320.5737,104911947834.122,136385979322.437,176134087150.341,236103982431.635,275625684968.615,339476215683.592,295008767295.038,361456622215.721,404993594133.582,455501524575.498,508692961937.492,546676374567.721,486803295097.89,404650006428.613,375746469538.666,397190484464.308,448120428858.769,72770000,81930000,91810000,86240000,78330000.0000001,86170000,100230000,98650000,88700000.0000001,87020000,97220000,101950000,92239997.8637696,1.01e+08,98730003.3569336,98720001.2207031,88769996.6430665,81120002.746582,86930000.3051758,76949996.9482422,90059997.5585937,95000000.0000001,95339996.3378906,108129997.253418,114830001.831055,107760002.13623,110830001.831055,108500000,109889999.389648,115279998.779297,"Sub-Saharan Africa","Lower middle income"
